source,target,label,distance_km,frequency,lead_time_days,quantity,transport_mode
T3_LithiumOre,T2_Lithium,rail,1800,weekly,6,7000,rail
T3_NickelOre,T2_Nickel,ship,2200,weekly,7,6000,ship
T3_CobaltOre,T2_Cobalt,ship,2500,weekly,9,3000,ship
T3_RareEarthOre,T2_RareEarth,ship,3200,biweekly,12,2000,ship
T3_GraphiteOre,T2_Graphite,rail,1500,weekly,5,5000,rail
T3_MetalOre,T2_Steel,rail,1200,weekly,5,5000,rail
T3_Chemicals,T2_Plastic,truck,800,weekly,4,2000,truck
T3_Silicon,T2_Semiconductors,ship,3000,biweekly,10,1500,ship
T2_Lithium,T1_BatteryPack,truck,400,weekly,3,1000,truck
T2_Nickel,T1_BatteryPack,truck,450,weekly,4,800,truck
T2_Cobalt,T1_BatteryPack,truck,500,weekly,5,600,truck
T2_Graphite,T1_BatteryPack,truck,300,weekly,3,900,truck
T2_Electrolyte,T1_BatteryPack,truck,350,weekly,3,400,truck
T2_RareEarth,T1_ElectricMotor,truck,600,weekly,4,500,truck
T2_HVCabling,T1_ElectricMotor,truck,200,weekly,2,700,truck
T2_Steel,T1_Chassis,truck,400,weekly,3,1000,truck
T2_Plastic,T1_Interior,truck,350,weekly,2,800,truck
T2_Semiconductors,T1_Electronics,air,900,weekly,6,500,air
T2_Sensors,T1_Electronics,truck,600,weekly,4,300,truck
T2_Wiring,T1_Electronics,truck,200,weekly,2,1200,truck
T1_BMS,T1_BatteryPack,truck,150,weekly,2,300,truck
T1_BatteryPack,OEM,truck,500,weekly,4,200,truck
T1_ElectricMotor,OEM,truck,450,weekly,3,200,truck
T1_Inverter,OEM,truck,250,weekly,2,200,truck
T1_Charger,OEM,truck,300,weekly,3,200,truck
T1_Thermal,OEM,truck,280,weekly,3,150,truck
T1_Engine,OEM,truck,500,weekly,3,200,truck
T1_Electronics,OEM,truck,450,weekly,3,300,truck
T1_Chassis,OEM,truck,300,weekly,2,200,truck
T1_Interior,OEM,truck,250,weekly,2,200,truck
OEM,Logistics_EU,truck,100,daily,1,400,truck
OEM,Logistics_Asia,ship,9000,weekly,21,200,ship
Logistics_EU,Warehouse_DE,truck,200,daily,1,300,truck
Logistics_EU,Warehouse_FR,truck,600,daily,2,250,truck
Warehouse_DE,Dealer_DE,truck,50,daily,1,120,truck
Warehouse_FR,Dealer_FR,truck,40,daily,1,100,truck
